action,group,payoff,player,round,reputation,avg_action,wealth
,9,0,2,53,reputation = 0,0.21739130434782608,3250.0
,9,0,2,54,reputation = 0,0.21739130434782608,3250.0
1.0,9,-150,2,55,reputation = 0,0.25,3100.0
,9,0,2,56,reputation = 0,0.25,3100.0
1.0,9,-150,2,57,reputation = 0,0.28,2950.0
1.0,9,-150,2,58,reputation = 0,0.3076923076923077,2800.0
1.0,9,-150,2,59,reputation = 0,0.3333333333333333,2650.0
,9,0,2,60,reputation = 0,0.3333333333333333,2650.0
,9,0,2,61,reputation = 0,0.3333333333333333,2650.0
1.0,9,-150,2,62,reputation = 0,0.35714285714285715,2500.0
,9,0,2,63,reputation = 0,0.35714285714285715,2500.0
1.0,9,-150,2,64,reputation = 0,0.3793103448275862,2350.0
,9,0,2,65,reputation = 0,0.3793103448275862,2350.0
,9,0,2,66,reputation = 0,0.3793103448275862,2350.0
,9,0,2,67,reputation = 0,0.3793103448275862,2350.0
1.0,9,-150,2,68,reputation = 0,0.4,2200.0
,9,0,2,69,reputation = 0,0.4,2200.0
,9,0,2,70,reputation = 0,0.4,2200.0
0.0,9,0,2,71,reputation = 0,0.3870967741935484,2200.0
0.0,9,0,2,72,reputation = 0,0.375,2200.0
,9,0,2,73,reputation = 0,0.375,2200.0
,9,0,2,74,reputation = 0,0.375,2200.0
,9,0,2,75,reputation = 0,0.375,2200.0
0.0,9,0,2,76,reputation = 0,0.36363636363636365,2200.0
,9,0,2,77,reputation = 0,0.36363636363636365,2200.0
0.0,9,0,2,78,reputation = 0,0.35294117647058826,2200.0
0.0,9,0,2,79,reputation = 0,0.34285714285714286,2200.0
0.0,9,0,2,80,reputation = 0,0.3333333333333333,2200.0
0.0,9,0,2,81,reputation = 0,0.32432432432432434,2200.0
0.0,9,0,2,82,reputation = 0,0.3157894736842105,2200.0
,9,0,2,83,reputation = 0,0.3157894736842105,2200.0
0.0,9,0,2,84,reputation = 0,0.3076923076923077,2200.0
,9,0,2,85,reputation = 0,0.3076923076923077,2200.0
0.0,9,0,2,86,reputation = 0,0.3,2200.0
,9,0,2,87,reputation = 0,0.3,2200.0
,9,0,2,88,reputation = 0,0.3,2200.0
,9,0,2,89,reputation = 0,0.3,2200.0
,9,0,2,90,reputation = 0,0.3,2200.0
0.0,9,0,2,91,reputation = 0,0.2926829268292683,2200.0
,9,0,2,92,reputation = 0,0.2926829268292683,2200.0
,9,0,2,93,reputation = 0,0.2926829268292683,2200.0
0.0,9,0,2,94,reputation = 0,0.2857142857142857,2200.0
,9,0,2,95,reputation = 0,0.2857142857142857,2200.0
0.0,9,0,2,96,reputation = 0,0.27906976744186046,2200.0
1.0,9,-150,3,1,reputation = 0,1.0,2850.0
,9,0,3,2,reputation = 0,1.0,2850.0
,9,0,3,3,reputation = 0,1.0,2850.0
,9,250,3,4,reputation = 0,1.0,3100.0
,9,0,3,5,reputation = 0,1.0,3100.0
1.0,9,-150,3,6,reputation = 0,1.0,2950.0
1.0,9,-150,3,7,reputation = 0,1.0,2800.0
1.0,9,-150,3,8,reputation = 0,1.0,2650.0
