version,reputation,group,player,round,action,avg_action,wealth
disincentivized strategic,reputation = 0,081106_1449,5,24,0.0,0.49374999999999997,3099.0
disincentivized strategic,reputation = 0,081106_1449,6,1,1.0,1.0,104.0
disincentivized strategic,reputation = 0,081106_1449,6,2,1.0,1.0,220.0
disincentivized strategic,reputation = 0,081106_1449,6,3,1.0,1.0,328.0
disincentivized strategic,reputation = 0,081106_1449,6,4,0.3,0.825,462.0
disincentivized strategic,reputation = 0,081106_1449,6,5,1.0,0.86,582.0
disincentivized strategic,reputation = 0,081106_1449,6,6,0.5,0.7999999999999999,732.0
disincentivized strategic,reputation = 0,081106_1449,6,7,0.75,0.7928571428571428,877.0
disincentivized strategic,reputation = 0,081106_1449,6,8,0.1,0.7062499999999999,1055.0
disincentivized strategic,reputation = 0,081106_1449,6,9,1.0,0.7388888888888888,1175.0
disincentivized strategic,reputation = 0,081106_1449,6,10,0.0,0.6649999999999999,1335.0
disincentivized strategic,reputation = 0,081106_1449,6,11,0.1,0.6136363636363635,1513.0
disincentivized strategic,reputation = 0,081106_1449,6,12,1.0,0.6458333333333333,1613.0
disincentivized strategic,reputation = 0,081106_1449,6,13,1.0,0.6730769230769231,1693.0
disincentivized strategic,reputation = 0,081106_1449,6,14,0.0,0.625,1793.0
disincentivized strategic,reputation = 0,081106_1449,6,15,0.0,0.5833333333333334,1897.0
disincentivized strategic,reputation = 0,081106_1449,6,16,0.0,0.546875,2037.0
disincentivized strategic,reputation = 0,081106_1449,6,17,0.5,0.5441176470588235,2167.0
disincentivized strategic,reputation = 0,081106_1449,6,18,1.0,0.5694444444444444,2307.0
disincentivized strategic,reputation = 0,081106_1449,6,19,1.0,0.5921052631578947,2427.0
disincentivized strategic,reputation = 0,081106_1449,6,20,0.2,0.5725,2583.0
disincentivized strategic,reputation = 0,081106_1449,6,21,1.0,0.5928571428571429,2703.0
disincentivized strategic,reputation = 0,081106_1449,6,22,0.2,0.575,2839.0
disincentivized strategic,reputation = 0,081106_1449,6,23,0.05,0.5521739130434782,2958.0
disincentivized strategic,reputation = 0,081106_1449,6,24,0.0,0.5291666666666667,3058.0
disincentivized strategic,reputation = 0,081106_1449,7,1,0.7,0.7,146.0
disincentivized strategic,reputation = 0,081106_1449,7,2,0.8,0.75,294.0
disincentivized strategic,reputation = 0,081106_1449,7,3,0.65,0.7166666666666667,445.0
disincentivized strategic,reputation = 0,081106_1449,7,4,0.8,0.7375,593.0
disincentivized strategic,reputation = 0,081106_1449,7,5,0.85,0.76,740.0
disincentivized strategic,reputation = 0,081106_1449,7,6,0.8,0.7666666666666667,892.0
disincentivized strategic,reputation = 0,081106_1449,7,7,0.85,0.7785714285714286,1043.0
disincentivized strategic,reputation = 0,081106_1449,7,8,0.78,0.77875,1191.4
disincentivized strategic,reputation = 0,081106_1449,7,9,0.8,0.7811111111111111,1341.8
disincentivized strategic,reputation = 0,081106_1449,7,10,0.88,0.791,1487.4
disincentivized strategic,reputation = 0,081106_1449,7,11,0.85,0.7963636363636364,1640.0
disincentivized strategic,reputation = 0,081106_1449,7,12,0.9,0.805,1786.0
disincentivized strategic,reputation = 0,081106_1449,7,13,0.8,0.8046153846153847,1938.0
disincentivized strategic,reputation = 0,081106_1449,7,14,0.8,0.8042857142857144,2090.0
disincentivized strategic,reputation = 0,081106_1449,7,15,0.8,0.8040000000000002,2242.0
disincentivized strategic,reputation = 0,081106_1449,7,16,0.8,0.8037500000000002,2394.0
disincentivized strategic,reputation = 0,081106_1449,7,17,0.8,0.803529411764706,2546.0
disincentivized strategic,reputation = 0,081106_1449,7,18,0.79,0.8027777777777779,2698.2
disincentivized strategic,reputation = 0,081106_1449,7,19,0.82,0.803684210526316,2850.6001
disincentivized strategic,reputation = 0,081106_1449,7,20,0.82,0.8045000000000002,3001.3999
disincentivized strategic,reputation = 0,081106_1449,7,21,0.8,0.8042857142857145,3152.6001
disincentivized strategic,reputation = 0,081106_1449,7,22,0.88,0.8077272727272728,3301.3999
disincentivized strategic,reputation = 0,081106_1449,7,23,0.8,0.8073913043478262,3455.0
disincentivized strategic,reputation = 0,081106_1449,7,24,0.8,0.8070833333333335,3603.8
disincentivized strategic,reputation = 0,081106_1449,8,1,0.75,0.75,141.0
disincentivized strategic,reputation = 0,081106_1449,8,2,0.8,0.775,289.0
disincentivized strategic,reputation = 0,081106_1449,8,3,0.8,0.7833333333333333,425.0
disincentivized strategic,reputation = 0,081106_1449,8,4,0.8,0.7875000000000001,573.0
disincentivized strategic,reputation = 0,081106_1449,8,5,0.8,0.79,725.0
