reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,3,7,14,1.0,50,0.5454545454545454,635
reputation = 0,3,7,15,,35,0.5454545454545454,670
reputation = 0,3,7,16,0.0,70,0.5,740
reputation = 0,3,7,17,1.0,50,0.5384615384615384,790
reputation = 0,3,7,18,0.0,35,0.5,825
reputation = 0,3,7,19,,35,0.5,860
reputation = 0,3,7,20,0.0,35,0.4666666666666667,895
reputation = 0,3,7,21,1.0,0,0.5,895
reputation = 0,3,7,22,0.0,35,0.47058823529411764,930
reputation = 0,3,7,23,0.0,35,0.4444444444444444,965
reputation = 0,3,7,24,1.0,0,0.47368421052631576,965
reputation = 0,3,7,25,0.0,35,0.45,1000
reputation = 0,3,7,26,,35,0.45,1035
reputation = 0,3,7,27,,35,0.45,1070
reputation = 0,3,7,28,,35,0.45,1105
reputation = 0,3,7,29,0.0,35,0.42857142857142855,1140
reputation = 0,3,7,30,,35,0.42857142857142855,1175
reputation = 0,3,8,1,1.0,50,1.0,50
reputation = 0,3,8,2,,35,1.0,85
reputation = 0,3,8,3,0.0,70,0.5,155
reputation = 0,3,8,4,0.0,70,0.3333333333333333,225
reputation = 0,3,8,5,0.0,70,0.25,295
reputation = 0,3,8,6,0.0,35,0.2,330
reputation = 0,3,8,7,0.0,35,0.16666666666666666,365
reputation = 0,3,8,8,1.0,50,0.2857142857142857,415
reputation = 0,3,8,9,0.0,35,0.25,450
reputation = 0,3,8,10,0.0,70,0.2222222222222222,520
reputation = 0,3,8,11,0.0,35,0.2,555
reputation = 0,3,8,12,,35,0.2,590
reputation = 0,3,8,13,,35,0.2,625
reputation = 0,3,8,14,0.0,35,0.18181818181818182,660
reputation = 0,3,8,15,,35,0.18181818181818182,695
reputation = 0,3,8,16,,35,0.18181818181818182,730
reputation = 0,3,8,17,1.0,50,0.25,780
reputation = 0,3,8,18,0.0,35,0.23076923076923078,815
reputation = 0,3,8,19,,35,0.23076923076923078,850
reputation = 0,3,8,20,0.0,35,0.21428571428571427,885
reputation = 0,3,8,21,,35,0.21428571428571427,920
reputation = 0,3,8,22,1.0,0,0.26666666666666666,920
reputation = 0,3,8,23,0.0,35,0.25,955
reputation = 0,3,8,24,1.0,0,0.29411764705882354,955
reputation = 0,3,8,25,0.0,35,0.2777777777777778,990
reputation = 0,3,8,26,,35,0.2777777777777778,1025
reputation = 0,3,8,27,,35,0.2777777777777778,1060
reputation = 0,3,8,28,,35,0.2777777777777778,1095
reputation = 0,3,8,29,0.0,35,0.2631578947368421,1130
reputation = 0,3,8,30,,35,0.2631578947368421,1165
reputation = 0,3,9,1,1.0,50,1.0,50
reputation = 0,3,9,2,1.0,50,1.0,100
reputation = 0,3,9,3,0.0,35,0.6666666666666666,135
reputation = 0,3,9,4,1.0,0,0.75,135
reputation = 0,3,9,5,1.0,50,0.8,185
reputation = 0,3,9,6,,35,0.8,220
reputation = 0,3,9,7,,35,0.8,255
reputation = 0,3,9,8,,35,0.8,290
reputation = 0,3,9,9,0.0,35,0.6666666666666666,325
reputation = 0,3,9,10,1.0,0,0.7142857142857143,325
reputation = 0,3,9,11,,35,0.7142857142857143,360
reputation = 0,3,9,12,1.0,0,0.75,360
reputation = 0,3,9,13,0.0,35,0.6666666666666666,395
reputation = 0,3,9,14,,35,0.6666666666666666,430
reputation = 0,3,9,15,1.0,50,0.7,480
reputation = 0,3,9,16,0.0,35,0.6363636363636364,515
reputation = 0,3,9,17,0.0,70,0.5833333333333334,585
reputation = 0,3,9,18,0.0,70,0.5384615384615384,655
reputation = 0,3,9,19,1.0,50,0.5714285714285714,705
reputation = 0,3,9,20,,35,0.5714285714285714,740
reputation = 0,3,9,21,0.0,35,0.5333333333333333,775
reputation = 0,3,9,22,,35,0.5333333333333333,810
reputation = 0,3,9,23,,35,0.5333333333333333,845
reputation = 0,3,9,24,0.0,70,0.5,915
reputation = 0,3,9,25,0.0,70,0.47058823529411764,985
reputation = 0,3,9,26,0.0,35,0.4444444444444444,1020
reputation = 0,3,9,27,0.0,35,0.42105263157894735,1055
reputation = 0,3,9,28,,35,0.42105263157894735,1090
reputation = 0,3,9,29,,35,0.42105263157894735,1125
