reputation,group,player,round,action,avg_action,wealth
reputation = 0,1,9,9,0,0.6666666666666666,
reputation = 0,1,9,10,0,0.6,
reputation = 0,1,9,11,0,0.5454545454545454,
reputation = 0,1,9,12,0,0.5,
reputation = 0,1,9,13,0,0.46153846153846156,
reputation = 0,1,9,14,0,0.42857142857142855,
reputation = 0,1,9,15,0,0.4,
reputation = 0,1,9,16,0,0.375,
reputation = 0,1,9,17,0,0.35294117647058826,
reputation = 0,1,9,18,0,0.3333333333333333,
reputation = 0,1,9,19,0,0.3157894736842105,
reputation = 0,1,9,20,0,0.3,
reputation = 0,1,9,21,0,0.2857142857142857,
reputation = 0,1,9,22,0,0.2727272727272727,
reputation = 0,1,9,23,0,0.2608695652173913,
reputation = 0,1,9,24,0,0.25,
reputation = 0,1,9,25,0,0.24,1653.0
reputation = 0,1,10,1,0,0.0,
reputation = 0,1,10,2,0,0.0,
reputation = 0,1,10,3,0,0.0,
reputation = 0,1,10,4,0,0.0,
reputation = 0,1,10,5,0,0.0,
reputation = 0,1,10,6,0,0.0,
reputation = 0,1,10,7,0,0.0,
reputation = 0,1,10,8,0,0.0,
reputation = 0,1,10,9,0,0.0,
reputation = 0,1,10,10,0,0.0,
reputation = 0,1,10,11,0,0.0,
reputation = 0,1,10,12,0,0.0,
reputation = 0,1,10,13,0,0.0,
reputation = 0,1,10,14,0,0.0,
reputation = 0,1,10,15,0,0.0,
reputation = 0,1,10,16,0,0.0,
reputation = 0,1,10,17,0,0.0,
reputation = 0,1,10,18,0,0.0,
reputation = 0,1,10,19,0,0.0,
reputation = 0,1,10,20,0,0.0,
reputation = 0,1,10,21,0,0.0,
reputation = 0,1,10,22,0,0.0,
reputation = 0,1,10,23,0,0.0,
reputation = 0,1,10,24,0,0.0,
reputation = 0,1,10,25,0,0.0,1390.0
reputation = 0,1,11,1,1,1.0,
reputation = 0,1,11,2,0,0.5,
reputation = 0,1,11,3,0,0.3333333333333333,
reputation = 0,1,11,4,0,0.25,
reputation = 0,1,11,5,0,0.2,
reputation = 0,1,11,6,0,0.16666666666666666,
reputation = 0,1,11,7,1,0.2857142857142857,
reputation = 0,1,11,8,0,0.25,
reputation = 0,1,11,9,0,0.2222222222222222,
reputation = 0,1,11,10,0,0.2,
reputation = 0,1,11,11,0,0.18181818181818182,
reputation = 0,1,11,12,0,0.16666666666666666,
reputation = 0,1,11,13,0,0.15384615384615385,
reputation = 0,1,11,14,0,0.14285714285714285,
reputation = 0,1,11,15,0,0.13333333333333333,
reputation = 0,1,11,16,0,0.125,
