reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,040909,1013,2,0,20,0.0,110
reputation = 0,040909,1013,3,1,10,0.3333333333333333,120
reputation = 0,040909,1013,4,1,80,0.5,200
reputation = 0,040909,1013,5,0,20,0.4,220
reputation = 0,040909,1013,6,0,90,0.3333333333333333,310
reputation = 0,040909,1013,7,0,20,0.2857142857142857,330
reputation = 0,040909,1013,8,1,10,0.375,340
reputation = 0,040909,1013,9,1,10,0.4444444444444444,350
reputation = 0,040909,1013,10,0,20,0.4,370
reputation = 0,040909,1013,11,0,20,0.36363636363636365,390
reputation = 0,040909,1013,12,0,20,0.3333333333333333,410
reputation = 0,040909,1013,13,1,10,0.38461538461538464,420
reputation = 0,040909,1013,14,0,20,0.35714285714285715,440
reputation = 0,040909,1013,15,1,10,0.4,450
reputation = 0,040909,1013,16,1,10,0.4375,460
reputation = 0,040909,1013,17,1,10,0.47058823529411764,470
reputation = 0,040909,1013,18,0,20,0.4444444444444444,490
reputation = 0,040909,1013,19,0,20,0.42105263157894735,510
reputation = 0,040909,1013,20,0,20,0.4,530
reputation = 0,040909,1013,21,0,20,0.38095238095238093,550
reputation = 0,040909,1013,22,1,10,0.4090909090909091,560
reputation = 0,040909,1013,23,0,20,0.391304347826087,580
reputation = 0,040909,1013,24,0,20,0.375,600
reputation = 0,040909,1014,1,0,20,0.0,20
reputation = 0,040909,1014,2,0,20,0.0,40
reputation = 0,040909,1014,3,0,20,0.0,60
reputation = 0,040909,1014,4,0,20,0.0,80
reputation = 0,040909,1014,5,1,80,0.2,160
reputation = 0,040909,1014,6,1,10,0.3333333333333333,170
reputation = 0,040909,1014,7,0,20,0.2857142857142857,190
reputation = 0,040909,1014,8,1,80,0.375,270
reputation = 0,040909,1014,9,0,20,0.3333333333333333,290
reputation = 0,040909,1014,10,0,20,0.3,310
reputation = 0,040909,1014,11,1,10,0.36363636363636365,320
reputation = 0,040909,1014,12,0,20,0.3333333333333333,340
reputation = 0,040909,1014,13,0,20,0.3076923076923077,360
reputation = 0,040909,1014,14,0,20,0.2857142857142857,380
reputation = 0,040909,1014,15,1,10,0.3333333333333333,390
reputation = 0,040909,1014,16,0,20,0.3125,410
reputation = 0,040909,1014,17,0,20,0.29411764705882354,430
reputation = 0,040909,1014,18,0,20,0.2777777777777778,450
reputation = 0,040909,1014,19,0,90,0.2631578947368421,540
reputation = 0,040909,1014,20,0,20,0.25,560
reputation = 0,040909,1014,21,0,20,0.23809523809523808,580
reputation = 0,040909,1014,22,0,20,0.22727272727272727,600
reputation = 0,040909,1014,23,0,20,0.21739130434782608,620
reputation = 0,040909,1014,24,0,20,0.20833333333333334,640
reputation = 0,040909,1015,1,0,20,0.0,20
reputation = 0,040909,1015,2,0,20,0.0,40
reputation = 0,040909,1015,3,0,20,0.0,60
reputation = 0,040909,1015,4,1,80,0.25,140
reputation = 0,040909,1015,5,0,20,0.2,160
reputation = 0,040909,1015,6,1,10,0.3333333333333333,170
reputation = 0,040909,1015,7,1,80,0.42857142857142855,250
reputation = 0,040909,1015,8,0,20,0.375,270
reputation = 0,040909,1015,9,1,10,0.4444444444444444,280
reputation = 0,040909,1015,10,0,20,0.4,300
reputation = 0,040909,1015,11,0,20,0.36363636363636365,320
reputation = 0,040909,1015,12,0,90,0.3333333333333333,410
reputation = 0,040909,1015,13,0,20,0.3076923076923077,430
reputation = 0,040909,1015,14,1,10,0.35714285714285715,440
reputation = 0,040909,1015,15,1,10,0.4,450
reputation = 0,040909,1015,16,0,20,0.375,470
reputation = 0,040909,1015,17,0,20,0.35294117647058826,490
reputation = 0,040909,1015,18,0,20,0.3333333333333333,510
reputation = 0,040909,1015,19,0,20,0.3157894736842105,530
reputation = 0,040909,1015,20,0,20,0.3,550
reputation = 0,040909,1015,21,0,90,0.2857142857142857,640
reputation = 0,040909,1015,22,0,20,0.2727272727272727,660
reputation = 0,040909,1015,23,0,20,0.2608695652173913,680
reputation = 0,040909,1015,24,0,20,0.25,700
reputation = 0,040909,1016,1,1,10,1.0,10
reputation = 0,040909,1016,2,1,80,1.0,90
reputation = 0,040909,1016,3,1,80,1.0,170
reputation = 0,040909,1016,4,1,10,1.0,180
reputation = 0,040909,1016,5,1,10,1.0,190
reputation = 0,040909,1016,6,1,10,1.0,200
reputation = 0,040909,1016,7,1,10,1.0,210
reputation = 0,040909,1016,8,1,10,1.0,220
reputation = 0,040909,1016,9,1,10,1.0,230
reputation = 0,040909,1016,10,1,10,1.0,240
reputation = 0,040909,1016,11,1,10,1.0,250
reputation = 0,040909,1016,12,1,80,1.0,330
reputation = 0,040909,1016,13,1,10,1.0,340
reputation = 0,040909,1016,14,1,10,1.0,350
reputation = 0,040909,1016,15,1,10,1.0,360
reputation = 0,040909,1016,16,1,10,1.0,370
reputation = 0,040909,1016,17,1,10,1.0,380
reputation = 0,040909,1016,18,1,10,1.0,390
reputation = 0,040909,1016,19,1,10,1.0,400
reputation = 0,040909,1016,20,1,10,1.0,410
reputation = 0,040909,1016,21,1,10,1.0,420
reputation = 0,040909,1016,22,1,10,1.0,430
reputation = 0,040909,1016,23,1,10,1.0,440
reputation = 0,040909,1016,24,1,80,1.0,520
reputation = 0,040909,1017,1,0,20,0.0,20
reputation = 0,040909,1017,2,0,90,0.0,110
reputation = 0,040909,1017,3,0,90,0.0,200
reputation = 0,040909,1017,4,0,20,0.0,220
reputation = 0,040909,1017,5,0,20,0.0,240
reputation = 0,040909,1017,6,0,20,0.0,260
reputation = 0,040909,1017,7,0,90,0.0,350
reputation = 0,040909,1017,8,0,20,0.0,370
reputation = 0,040909,1017,9,0,20,0.0,390
reputation = 0,040909,1017,10,0,90,0.0,480
reputation = 0,040909,1017,11,0,20,0.0,500
reputation = 0,040909,1017,12,0,20,0.0,520
reputation = 0,040909,1017,13,0,20,0.0,540
reputation = 0,040909,1017,14,0,90,0.0,630
reputation = 0,040909,1017,15,0,20,0.0,650
reputation = 0,040909,1017,16,0,20,0.0,670
reputation = 0,040909,1017,17,0,20,0.0,690
reputation = 0,040909,1017,18,0,20,0.0,710
reputation = 0,040909,1017,19,0,20,0.0,730
reputation = 0,040909,1017,20,0,20,0.0,750
reputation = 0,040909,1017,21,0,20,0.0,770
reputation = 0,040909,1017,22,0,20,0.0,790
reputation = 0,040909,1017,23,0,20,0.0,810
reputation = 0,040909,1017,24,0,20,0.0,830
reputation = 0,040909,1018,1,0,20,0.0,20
reputation = 0,040909,1018,2,0,20,0.0,40
reputation = 0,040909,1018,3,0,20,0.0,60
reputation = 0,040909,1018,4,1,10,0.25,70
reputation = 0,040909,1018,5,1,10,0.4,80
reputation = 0,040909,1018,6,1,10,0.5,90
reputation = 0,040909,1018,7,1,10,0.5714285714285714,100
reputation = 0,040909,1018,8,1,10,0.625,110
reputation = 0,040909,1018,9,1,10,0.6666666666666666,120
reputation = 0,040909,1018,10,0,20,0.6,140
reputation = 0,040909,1018,11,0,20,0.5454545454545454,160
reputation = 0,040909,1018,12,0,20,0.5,180
reputation = 0,040909,1018,13,1,80,0.5384615384615384,260
reputation = 0,040909,1018,14,1,10,0.5714285714285714,270
reputation = 0,040909,1018,15,1,10,0.6,280
reputation = 0,040909,1018,16,0,20,0.5625,300
reputation = 0,040909,1018,17,0,20,0.5294117647058824,320
reputation = 0,040909,1018,18,0,20,0.5,340
reputation = 0,040909,1018,19,0,20,0.47368421052631576,360
reputation = 0,040909,1018,20,0,20,0.45,380
reputation = 0,040909,1018,21,0,20,0.42857142857142855,400
reputation = 0,040909,1018,22,0,20,0.4090909090909091,420
reputation = 0,040909,1018,23,0,20,0.391304347826087,440
reputation = 0,040909,1018,24,0,20,0.375,460
reputation = 0,040909,1019,1,1,80,1.0,80
reputation = 0,040909,1019,2,0,20,0.5,100
reputation = 0,040909,1019,3,0,20,0.3333333333333333,120
reputation = 0,040909,1019,4,0,20,0.25,140
